Title                                  ,Stat         ,Rank ,Temp Impact (81.0) ,Precipitation Impact (Sunny) ,Wind Impact (5.8) ,Visibility (10.0)
SG: Total                              ,0.574        ,41   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
SG: Tee-to-Green                       ,1.073        ,10   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
SG: Off-the-Tee                        ,0.092        ,76   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
SG: Approach the Green                 ,0.541        ,9    ,1.0x               ,1.0x                         ,1.0x              ,1.0x
SG: Around-the-Green                   ,0.439        ,5    ,1.0x               ,1.0x                         ,1.0x              ,1.0x
SG: Putting                            ,-0.499       ,153  ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Total Driving                          ,156          ,72   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Longest Drives                         ,409          ,58   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Driving Distance                       ,309.8        ,19   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Driving Distance - All Drives          ,300.3        ,26   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Driving Accuracy Percentage            ,55.95%       ,137  ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Left Rough Tendency                    ,14.17%       ,105  ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Right Rough Tendency                   ,14.95%       ,82   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Distance from Edge of Fairway          ,30' 9        ,125  ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Club Head Speed                        ,117.79       ,58   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Total Driving Efficiency               ,29           ,13   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Greens in Regulation Percentage        ,64.73%       ,122  ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Proximity to Hole                      ,37' 10       ,99   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Approaches from > 275 yards            ,80' 10       ,72   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Approaches from 250-275 yards          ,65' 10       ,124  ,1.0x               ,1.0x                         ,1.0x              ,1.0x
Approaches from 225-250 yards          ,48' 4        ,36   ,1.0x               ,1.0x                         ,1.0x              ,1.0x
