Stat Name                              ,Stat Value ,PGA Rank ,Temp Impact (68.0°F) ,Precipitation Impact (Clear) ,Wind Impact (6.9mph) ,Visibility (10.0m)
SG: Total                              ,0.659      ,34       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
SG: Tee-to-Green                       ,0.618      ,30       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
SG: Off-the-Tee                        ,0.302      ,35       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
SG: Approach the Green                 ,0.099      ,89       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
SG: Around-the-Green                   ,0.218      ,32       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
SG: Putting                            ,0.040      ,86       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Total Driving                          ,91         ,4        ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Longest Drives                         ,422        ,39       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Driving Distance                       ,300.4      ,81       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Driving Distance - All Drives          ,292.6      ,84       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Driving Accuracy Percentage            ,69.22%     ,10       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Left Rough Tendency                    ,9.15%      ,7        ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Right Rough Tendency                   ,12.95%     ,30       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Distance from Edge of Fairway          ,23'0       ,25       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Club Head Speed                        ,115.30     ,96       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Total Driving Efficiency               ,59         ,24       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Greens in Regulation Percentage        ,67.29%     ,59       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Proximity to Hole                      ,39'3       ,144      ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Approaches from > 275 yards            ,84'1       ,89       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Approaches from 250-275 yards          ,60'0       ,72       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Approaches from 225-250 yards          ,47'10      ,32       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Approaches from 200-225 yards          ,42'9       ,119      ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Approaches from > 200 yards            ,52'0       ,121      ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
Approaches from 175-200 yards          ,33'4       ,59       ,1.0x                 ,1.0x                         ,1.0x                 ,1.0x
